ID,Class,Title,Year,Semester,Average Score,Attd_rate,avg_study,avg_diff,avg_performance,avg_satisfaction,recc_rate
SEDU330,04,학교폭력예방및학생의이해*Course not open for foreign exchange students,2023,2학기,3.8,자주함,3.2,2.6,2.8,3.3,8.3%
SEDU330,02,학교폭력예방및학생의이해*Course not open for foreign exchange students,2023,2학기,4.3,매번함,3.1,2.8,4.2,3.5,46.2%
SEDU330,01,학교폭력예방및학생의이해*Course not open for foreign exchange students,2023,2학기,4.3,자주함,3.1,2.9,4.3,3.7,61.1%
SEDU313,03,교육행정및교육경영*Course not open for foreign exchange students,2023,2학기,4.7,매번함,2.7,2.7,4.0,4.1,71.4%
SEDU313,02,교육행정및교육경영*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,3.8,매번함,3.2,3.1,3.4,3.1,30.0%
SEDU309,04,특수교육학개론*Course not open for foreign exchange students,2023,2학기,4.5,매번함,3.0,2.8,4.0,3.4,62.5%
SEDU309,02,특수교육학개론*Course not open for foreign exchange students(담당교원:손서영),2023,2학기,4.6,매번함,3.4,2.9,4.3,4.1,44.4%
SEDU309,01,특수교육학개론*Course not open for foreign exchange students(담당교원:손서영),2023,2학기,4.6,매번함,3.4,2.4,4.7,4.3,57.1%
SEDU303,04,교직실무*Course not open for foreign exchange students,2023,2학기,2.9,매번함,2.6,2.9,3.0,2.5,
SEDU303,03,교직실무*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,4.3,매번함,1.8,2.0,2.7,1.8,16.7%
SEDU303,01,교직실무*Course not open for foreign exchange students,2023,2학기,4.3,자주함,2.9,2.5,4.1,2.7,37.5%
SEDU220,03,교육현장에서의진로디자인강의실: 교육관 509호,2023,2학기,4.6,매번함,2.4,2.2,4.4,4.0,60.0%
SEDU208,04,생활지도및상담*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,4.2,매번함,3.1,2.9,4.5,3.8,50.0%
SEDU208,03,생활지도및상담*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.4,매번함,3.4,3.3,4.5,4.0,40.0%
SEDU208,02,생활지도및상담*Course not open for foreign exchange students,2023,2학기,4.9,매번함,2.9,2.1,4.6,4.1,57.1%
SEDU208,01,생활지도및상담*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.3,매번함,2.9,2.7,4.1,3.7,46.7%
SEDU206,01,교육평가*수업시간 16:30-18:10*Course not open for foreign exchange students(담당교원:김효진),2023,2학기,4.8,매번함,3.0,2.8,4.6,3.8,60.0%
SEDU205,03,교육과정*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,3.9,매번함,3.1,3.1,3.9,3.5,21.4%
SEDU205,02,교육과정*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.5,매번함,3.9,3.3,4.1,3.3,50.0%
SEDU205,01,교육과정*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.0,매번함,3.3,3.3,3.1,3.3,25.0%
SEDU204,02,교육방법및교육공학*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.7,매번함,3.4,3.4,4.1,4.4,55.6%
SEDU202,02,교육철학및교육사*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,4.2,매번함,1.2,1.5,4.0,2.2,50.0%
SEDU202,01,교육철학및교육사*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.1,매번함,1.5,1.9,4.0,2.6,50.0%
SEDU104,03,교육사회*Course not open for foreign exchange students,2023,2학기,4.8,매번함,3.4,2.8,4.9,4.2,77.8%
SEDU104,02,교육사회*Course not open for foreign exchange students,2023,2학기,4.2,매번함,3.6,3.2,4.4,3.8,60.0%
SEDU104,01,교육사회*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,4.6,매번함,4.1,3.8,4.7,4.4,18.2%
SEDU103,04,교육심리*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.6,매번함,3.6,3.2,4.6,4.2,50.0%
SEDU103,02,교육심리*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.4,매번함,4.4,3.6,4.5,3.9,57.1%
SEDU103,01,교육심리*Course not open for foreign exchange students,2023,2학기,4.7,매번함,4.5,3.6,4.9,4.6,63.6%
SEDU101,06,교육학개론*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,3.9,매번함,3.1,3.0,4.1,3.2,35.7%
SEDU101,05,교육학개론*수업시작시간 8:40 *Course not open for foreign exchange students,2023,2학기,4.1,매번함,2.4,2.1,3.4,2.7,57.1%
SEDU101,04,교육학개론*Course not open for foreign exchange students,2023,2학기,4.5,매번함,4.0,2.8,4.6,3.6,81.8%
SEDU101,03,교육학개론*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.0,자주함,2.5,2.7,3.7,3.1,37.5%
SEDU101,02,교육학개론*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.0,매번함,1.8,1.9,3.8,2.3,66.7%
SEDU101,01,교육학개론*수업시간 16:30-18:10*Course not open for foreign exchange students,2023,2학기,4.4,거의안함,3.0,2.3,4.2,3.7,41.7%
EAES412,00,우주과학,2023,2학기,5.0,자주함,1.4,1.6,4.4,2.7,71.4%
GECT001,00,정보적사고 DL,2023,2학기,4.6,거의안함,1.6,1.5,3.0,2.3,36.8%
GELI004,F3,"자유정의진리II(외국인반, 고급)",2023,2학기,4.0,매번함,3.2,3.0,3.8,3.8,60.0%
GELI003,C4,"자유정의진리I(외국인반, 고급)-신입생 우선 수강신청",2023,2학기,4.6,자주함,3.4,2.4,4.6,4.0,40.0%
GELI003,C2,"자유정의진리I(외국인반, 고급)-신입생 우선 수강신청",2023,2학기,4.6,매번함,2.9,3.0,4.0,3.7,42.9%
GELI003,C1,"자유정의진리I(외국인반, 고급)-신입생 우선 수강신청",2023,2학기,5.0,자주함,3.0,2.0,4.4,4.4,57.1%
GELI002,CL,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,2.9,매번함,3.6,4.3,3.1,3.1,
GELI002,CK,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,3.3,매번함,4.2,4.2,3.6,3.0,18.8%
GELI002,CJ,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,4.0,매번함,3.3,2.8,4.0,3.6,50.0%
GELI002,CI,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,2.7,매번함,3.4,3.3,2.9,2.3,
GELI002,CH,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,4.9,매번함,2.3,1.7,4.9,4.1,66.7%
GELI002,CG,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,4.8,매번함,2.3,1.9,4.8,3.9,70.6%
GELI002,CF,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,3.7,매번함,3.3,3.0,3.2,3.0,33.3%
GELI002,CE,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,3.5,매번함,2.5,2.7,3.4,2.7,33.3%
GELI002,CD,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,4.1,매번함,3.4,2.7,4.2,3.0,21.4%
GELI002,CC,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,4.0,매번함,3.0,2.7,4.3,3.4,42.9%
GELI002,CB,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,4.4,매번함,3.1,2.9,4.2,3.5,64.7%
GELI002,CA,자유정의진리II FC강의실: 과학도서관 B120호,2023,2학기,4.5,매번함,3.4,3.1,4.6,4.0,58.8%
GELI002,BL,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.5,자주함,2.5,2.5,4.2,3.5,61.5%
GELI002,BK,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.9,자주함,2.9,2.6,4.4,3.8,68.8%
GELI002,BJ,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.9,매번함,1.9,2.1,4.6,3.9,87.5%
GELI002,BI,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.8,매번함,2.7,2.8,4.3,4.1,55.6%
GELI002,BH,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.4,매번함,3.2,2.2,3.8,3.4,47.4%
GELI002,BG,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.8,매번함,2.9,2.4,4.2,3.6,60.0%
GELI002,BF,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.3,매번함,2.9,2.4,4.0,3.4,38.9%
GELI002,BE,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.5,매번함,2.9,2.7,4.2,3.9,37.5%
GELI002,BD,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.4,매번함,4.1,3.7,4.9,4.1,28.6%
GELI002,BC,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.3,매번함,3.9,3.3,4.3,4.3,53.3%
GELI002,BB,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.6,매번함,2.4,2.4,4.6,3.9,64.3%
GELI002,BA,자유정의진리II FC강의실: 과학도서관 B119호,2023,2학기,4.8,매번함,1.9,1.7,4.6,3.9,83.3%
GELI002,8K,자유정의진리II FC강의실: SK미래관 B132호,2023,2학기,3.8,자주함,3.3,3.3,3.5,3.4,28.6%
GELI002,8J,자유정의진리II FC강의실: SK미래관 B132호,2023,2학기,4.6,매번함,2.9,2.3,4.4,3.9,64.3%
GELI002,8I,자유정의진리II FC강의실: SK미래관 B132호,2023,2학기,4.5,매번함,2.8,2.5,4.5,4.0,59.1%
GELI002,8H,자유정의진리II FC강의실: SK미래관 B132호,2023,2학기,4.9,매번함,3.6,3.2,4.9,4.5,78.6%
GELI002,8G,자유정의진리II FC강의실: SK미래관 B132호,2023,2학기,4.6,매번함,3.8,2.9,4.9,4.5,68.2%
GELI002,8F,자유정의진리II FC강의실: SK미래관 B132호,2023,2학기,4.9,종종함,1.8,1.7,4.8,4.2,70.0%
GELI002,8E,자유정의진리II FC강의실: SK미래관 B132호,2023,2학기,5.0,자주함,2.2,2.1,4.8,4.1,61.1%
GELI002,8D,자유정의진리II FC강의실: SK미래관 B132호,2023,2학기,4.6,매번함,2.8,2.7,4.3,4.0,45.0%
GELI002,8C,자유정의진리II FC강의실: SK미래관 B132호,2023,2학기,4.6,매번함,2.6,2.4,4.4,3.5,57.1%
GELI002,8B,자유정의진리II FC강의실: SK미래관 B132호,2023,2학기,4.7,매번함,2.9,2.3,4.5,3.8,50.0%
GELI002,8A,자유정의진리II FC강의실: SK미래관 B132호,2023,2학기,4.8,매번함,2.7,2.0,4.2,3.9,57.1%
GELI002,7L,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.7,자주함,2.7,2.3,4.2,3.8,73.7%
GELI002,7K,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.7,자주함,2.2,2.1,4.0,3.4,58.8%
GELI002,7J,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.5,매번함,2.8,2.5,3.8,3.4,58.3%
GELI002,7I,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.3,매번함,2.1,2.2,3.4,3.8,66.7%
GELI002,7H,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.2,매번함,4.0,3.7,4.2,4.0,30.8%
GELI002,7G,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.3,매번함,3.8,4.0,4.3,4.2,60.0%
GELI002,7F,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.5,매번함,3.5,3.1,3.5,3.8,60.0%
GELI002,7E,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.5,매번함,2.9,2.6,3.5,3.7,64.3%
GELI002,7D,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.9,매번함,2.2,1.8,4.8,4.6,84.6%
GELI002,7C,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.3,매번함,2.9,3.0,4.6,3.8,73.3%
GELI002,7B,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.6,매번함,3.4,3.2,4.4,3.6,71.4%
GELI002,7A,자유정의진리II FC강의실: SK미래관 B102호,2023,2학기,4.9,매번함,2.8,2.5,4.5,3.6,76.5%
GELI002,6L,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,5.0,매번함,2.9,2.4,4.7,4.5,71.4%
GELI002,6K,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,4.9,매번함,3.2,2.7,4.9,4.4,83.3%
GELI002,6J,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,4.6,매번함,2.2,1.8,4.0,3.5,58.3%
GELI002,6I,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,4.8,매번함,1.8,1.8,3.4,2.8,58.3%
GELI002,6H,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,4.1,매번함,2.8,2.5,3.6,3.2,38.5%
GELI002,6G,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,4.1,매번함,2.8,2.2,3.4,3.3,41.2%
GELI002,6F,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,5.0,매번함,2.3,2.3,4.7,3.8,60.0%
GELI002,6E,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,4.7,자주함,2.5,2.3,4.6,4.1,81.8%
GELI002,6D,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,5.0,자주함,2.8,1.9,4.6,4.4,91.7%
GELI002,6C,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,4.7,매번함,3.0,2.6,4.7,3.9,46.7%
GELI002,6B,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,4.8,매번함,3.1,2.4,4.6,3.9,88.9%
GELI002,6A,자유정의진리II FC강의실: SK미래관 218호,2023,2학기,4.9,자주함,2.7,2.3,3.9,3.6,78.6%
GELI002,5L,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.9,매번함,2.3,1.8,4.1,3.5,81.3%
GELI002,5K,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.8,자주함,2.8,2.6,4.2,4.0,76.5%
GELI002,5J,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.9,자주함,2.9,2.5,4.6,4.0,74.1%
GELI002,5I,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.6,매번함,2.9,2.4,4.4,3.8,50.0%
GELI002,5H,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.5,매번함,2.8,2.2,3.8,3.6,55.0%
GELI002,5G,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.8,매번함,2.6,2.3,4.3,4.1,52.6%
GELI002,5F,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.9,매번함,2.0,1.8,4.1,3.8,68.8%
GELI002,5E,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.8,매번함,2.5,2.3,4.6,4.1,68.2%
GELI002,5D,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.4,매번함,3.0,2.7,3.6,3.7,61.9%
GELI002,5C,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.6,매번함,2.5,2.2,3.6,3.5,48.6%
GELI002,5B,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.9,매번함,2.6,2.3,3.3,3.1,71.4%
GELI002,5A,자유정의진리II FC강의실: SK미래관 505호,2023,2학기,4.6,자주함,2.6,2.1,3.3,3.1,77.8%
GELI002,4L,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,4.7,매번함,3.9,3.8,4.7,4.4,60.0%
GELI002,4K,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,4.2,매번함,3.2,3.2,4.2,3.8,61.9%
GELI002,4J,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,4.9,자주함,2.5,2.2,4.9,4.1,78.9%
GELI002,4I,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,5.0,자주함,2.2,2.3,4.6,3.3,57.1%
GELI002,4H,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,4.0,매번함,2.9,2.8,3.3,2.7,25.0%
GELI002,4G,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,4.0,매번함,3.1,2.7,3.0,3.5,46.7%
GELI002,4F,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,4.9,매번함,2.5,2.2,4.1,3.8,78.6%
GELI002,4E,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,4.4,매번함,2.5,1.9,3.8,3.0,45.0%
GELI002,4D,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,4.7,매번함,2.3,1.9,3.9,3.6,78.9%
GELI002,4C,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,4.5,매번함,2.8,2.3,3.8,3.6,56.3%
GELI002,4B,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,4.9,종종함,2.0,1.7,4.6,3.8,88.2%
GELI002,4A,자유정의진리II FC강의실: SK미래관 504호,2023,2학기,4.9,거의안함,1.8,1.7,4.7,3.8,66.7%
GELI002,3L,자유정의진리II FC강의실: SK미래관 219호,2023,2학기,4.2,자주함,2.1,2.7,3.9,3.4,50.0%
GELI002,3K,자유정의진리II FC강의실: SK미래관 219호,2023,2학기,4.4,자주함,2.4,2.9,4.3,3.9,42.1%
GELI002,3J,자유정의진리II FC강의실: SK미래관 219호,2023,2학기,3.5,매번함,3.2,2.9,3.1,3.2,21.1%
GELI002,3I,자유정의진리II FC강의실: SK미래관 219호,2023,2학기,4.7,매번함,2.9,2.6,4.8,3.7,80.0%
GELI002,3H,자유정의진리II FC강의실: SK미래관 219호,2023,2학기,4.7,매번함,3.0,2.4,4.5,4.1,63.3%
GELI002,3F,자유정의진리II FC강의실: SK미래관 219호,2023,2학기,4.0,매번함,3.4,3.0,4.2,3.5,40.0%
GELI002,3E,자유정의진리II FC강의실: SK미래관 219호,2023,2학기,4.7,매번함,2.6,1.8,4.5,4.0,73.3%
GELI002,3D,자유정의진리II FC강의실: SK미래관 219호,2023,2학기,4.6,매번함,3.4,2.5,4.5,3.9,76.9%
GELI002,3C,자유정의진리II FC강의실: SK미래관 219호,2023,2학기,4.1,매번함,2.6,2.1,2.8,2.5,37.5%
GELI002,3B,자유정의진리II FC강의실: SK미래관 219호,2023,2학기,3.5,매번함,3.4,2.9,3.3,3.4,33.3%
GELI002,3A,자유정의진리II FC강의실: SK미래관 219호,2023,2학기,5.0,매번함,2.0,1.9,4.8,4.5,75.0%
GELI002,2L,자유정의진리II FC,2023,2학기,4.4,매번함,2.1,2.0,3.5,3.5,70.0%
GELI002,2K,자유정의진리II FC,2023,2학기,4.4,매번함,2.3,2.4,4.1,3.8,61.1%
GELI002,2J,자유정의진리II FC,2023,2학기,4.8,매번함,3.3,3.0,4.3,3.8,80.0%
GELI002,2I,자유정의진리II FC,2023,2학기,4.7,매번함,2.8,2.8,4.6,4.0,76.9%
GELI002,2H,자유정의진리II FC,2023,2학기,4.8,매번함,2.6,2.1,4.2,3.5,73.3%
GELI002,2G,자유정의진리II FC,2023,2학기,4.5,매번함,2.6,2.4,3.9,3.6,41.2%
GELI002,2F,자유정의진리II FC,2023,2학기,4.9,매번함,2.7,2.5,4.5,3.7,90.9%
GELI002,2E,자유정의진리II FC,2023,2학기,4.6,자주함,2.3,2.1,4.0,3.1,68.8%
GELI002,2D,자유정의진리II FC,2023,2학기,4.5,매번함,2.7,2.9,4.8,3.9,75.0%
GELI002,2C,자유정의진리II FC,2023,2학기,4.7,매번함,3.0,2.7,4.7,4.2,53.8%
GELI002,2B,자유정의진리II FC,2023,2학기,4.9,매번함,2.8,2.3,4.4,4.3,55.6%
GELI002,2A,자유정의진리II FC,2023,2학기,4.9,매번함,2.7,2.4,4.6,4.5,72.2%
GELI002,1L,자유정의진리II FC,2023,2학기,4.8,매번함,2.5,2.8,4.6,4.4,66.7%
GELI002,1K,자유정의진리II FC,2023,2학기,4.7,자주함,2.7,2.6,4.6,3.9,52.6%
GELI002,1J,자유정의진리II FC,2023,2학기,4.7,매번함,3.2,2.7,4.2,4.0,55.0%
GELI002,1I,자유정의진리II FC,2023,2학기,4.7,매번함,3.3,2.7,4.5,4.0,54.2%
GELI002,1H,자유정의진리II FC,2023,2학기,4.6,매번함,2.8,3.0,4.0,3.8,30.8%
GELI002,1G,자유정의진리II FC,2023,2학기,4.5,매번함,2.5,2.3,3.9,3.5,45.0%
GELI002,1F,자유정의진리II FC,2023,2학기,4.8,매번함,2.4,1.9,4.6,3.8,68.0%
GELI002,1E,자유정의진리II FC,2023,2학기,4.4,매번함,2.5,2.1,4.2,3.4,40.0%
GELI002,1D,자유정의진리II FC,2023,2학기,4.6,매번함,3.4,2.9,4.5,3.7,68.4%
GELI002,1C,자유정의진리II FC,2023,2학기,4.4,매번함,3.9,3.4,4.6,4.1,43.8%
GELI002,1B,자유정의진리II FC,2023,2학기,3.9,자주함,3.8,3.3,4.2,3.7,44.4%
GELI002,1A,자유정의진리II FC,2023,2학기,4.4,매번함,2.9,2.9,4.5,3.8,63.2%
GECE107,00,진리·정의·자유를향한인문학적성찰,2023,2학기,4.8,매번함,1.5,1.3,3.8,2.9,65.6%
GECE058,00,ANCIENT CHINESE LAW AND PHILOSOPHY(영강) SC,2023,2학기,3.0,거의안함,3.0,3.6,3.4,2.8,27.8%
GECE013,00,"철학에로의초대:초월,신,자아,인식",2023,2학기,4.4,자주함,3.6,3.3,4.0,4.1,52.8%
GEHI094,00,한국근현대사와근대성의이해(영강),2023,2학기,4.3,매번함,2.3,1.8,2.9,3.1,52.4%
GEHI093,00,분단극복과동북아평화,2023,2학기,3.7,종종함,3.7,3.1,2.9,3.2,18.2%
GEHI090,00,역사와공공문화,2023,2학기,4.0,매번함,3.5,3.0,3.2,3.3,48.3%
GEHI089,00,도시로보는중국사,2023,2학기,4.4,거의안함,2.4,2.3,3.5,2.9,47.4%
GEHI087,00,"대한민국헌법사강의실 변경(2023.8.21) 前교양관606, 後법학신관101",2023,2학기,3.7,아예안함,4.0,3.5,3.4,3.6,40.5%
GEHI084,00,대운하를통해본중국의정치경제사 M군복무 학생 수강신청 고려하여 정규학생 인원조정함,2023,2학기,4.1,종종함,3.8,3.5,3.8,3.1,41.4%
GEHI079,00,역사는어떻게서술되는가?,2023,2학기,3.6,거의안함,2.8,2.8,3.0,3.1,23.7%
GEFC105,00,이슬람문화의이해,2023,2학기,3.1,매번함,2.7,2.6,2.9,2.2,12.0%
GEFC102,00,포스트콜로니얼시대의도전과과제,2023,2학기,4.6,자주함,3.6,3.4,4.4,4.2,67.3%
GEFC100,00,번역을통해본근대동아시아문화의형성,2023,2학기,3.3,종종함,3.2,2.6,2.3,2.2,13.0%
GEFC099,00,일본의문화콘텐츠와전통문화,2023,2학기,4.3,매번함,3.3,2.5,4.3,3.8,51.2%
GEFC091,00,종교와영화,2023,2학기,4.4,종종함,2.7,2.3,4.1,3.2,52.3%
GEFC054,00,동남아시아의지역성과문화,2023,2학기,4.7,자주함,2.9,2.4,3.6,3.3,63.7%
SPAN122,06,"교양스페인어Ⅱ(외국어강의)월,수 강의실: 서관 201호",2023,2학기,2.8,자주함,3.7,3.4,3.0,2.6,11.1%
SPAN122,05,교양스페인어Ⅱ(외국어강의),2023,2학기,4.3,매번함,4.1,3.9,3.4,3.8,37.5%
SPAN122,04,"교양스페인어Ⅱ(외국어강의)월,수 강의실: 서관 201호",2023,2학기,3.2,자주함,3.6,3.4,2.9,3.1,7.7%
SPAN122,03,교양스페인어Ⅱ(외국어강의)서문과 신입생(23학번) 끝자리 짝수,2023,2학기,3.6,매번함,4.5,4.1,4.0,3.5,36.4%
SPAN122,02,교양스페인어Ⅱ(외국어강의),2023,2학기,3.9,매번함,4.4,3.7,4.2,4.2,50.0%
SPAN122,01,교양스페인어Ⅱ(외국어강의)서문과 신입생(23학번) 끝자리 홀수,2023,2학기,3.6,매번함,3.6,3.6,3.8,3.8,
SPAN121,04,교양스페인어Ⅰ(외국어강의),2023,2학기,3.7,매번함,3.8,3.5,4.0,3.3,33.3%
SPAN121,03,"교양스페인어Ⅰ(외국어강의)월,수 강의실: 서관 223호",2023,2학기,4.3,매번함,3.8,3.4,3.9,4.0,37.5%
SPAN121,02,교양스페인어Ⅰ(외국어강의),2023,2학기,4.4,매번함,4.5,3.8,4.0,4.4,46.2%
SPAN121,01,교양스페인어Ⅰ(외국어강의),2023,2학기,4.4,매번함,3.9,3.1,4.4,3.9,85.7%
RUSS132,03,교양러시아어II(외국어강의),2023,2학기,4.6,종종함,3.0,3.4,4.0,4.0,80.0%
RUSS132,02,교양러시아어II(외국어강의)노문과 신입생 전용 강의 (2023학번 짝수 번호 수강),2023,2학기,4.8,종종함,3.2,3.4,3.8,3.5,58.3%
JAPN114,04,교양일본어Ⅱ(외국어강의),2023,2학기,4.0,매번함,3.1,2.9,3.3,3.6,14.3%
JAPN114,03,교양일본어Ⅱ(외국어강의),2023,2학기,4.4,자주함,3.8,3.0,3.8,3.2,40.0%
JAPN113,02,교양일본어Ⅰ(외국어강의),2023,2학기,5.0,매번함,3.0,2.6,4.5,4.5,80.0%
JAPN113,01,교양일본어Ⅰ(외국어강의)강사 임용 예정,2023,2학기,5.0,매번함,2.8,2.7,4.8,4.1,55.6%
HANM141,00,초급한문강의실: 서관 B110,2023,2학기,4.1,매번함,3.9,3.5,3.8,3.3,54.5%
GERM162,05,교양독일어Ⅱ(외국어강의),2023,2학기,4.7,매번함,3.3,2.7,4.5,4.0,66.7%
GERM162,03,교양독일어Ⅱ(외국어강의),2023,2학기,4.8,매번함,3.2,3.2,4.6,4.3,81.8%
GERM162,02,교양독일어Ⅱ(외국어강의)독문과 23학번(신입생) 끝자리 홀수학번,2023,2학기,4.7,자주함,3.8,3.2,4.3,4.2,16.7%
GERM161,00,교양독일어Ⅰ(외국어강의),2023,2학기,3.4,종종함,2.7,2.2,2.0,2.4,44.4%
FRAN142,05,교양프랑스어Ⅱ(외국어강의),2023,2학기,4.7,자주함,4.2,3.8,4.7,4.7,93.8%
FRAN142,04,교양프랑스어Ⅱ(외국어강의),2023,2학기,4.5,종종함,3.2,3.4,3.5,3.6,69.2%
FRAN142,03,교양프랑스어Ⅱ(외국어강의),2023,2학기,4.4,매번함,3.8,3.4,4.6,3.9,50.0%
FRAN142,02,교양프랑스어Ⅱ(외국어강의),2023,2학기,4.7,매번함,3.8,3.3,4.3,4.0,53.8%
FRAN142,01,교양프랑스어Ⅱ(외국어강의),2023,2학기,4.3,매번함,3.1,3.0,3.2,3.7,58.3%
FRAN141,02,교양프랑스어Ⅰ(외국어강의),2023,2학기,4.8,매번함,3.8,3.1,4.9,4.2,70.0%
FRAN141,01,교양프랑스어Ⅰ(외국어강의),2023,2학기,4.6,자주함,3.2,3.1,4.3,4.1,58.8%
CHIN104,05,교양중국어Ⅱ(외국어강의),2023,2학기,4.5,매번함,2.9,2.2,3.9,3.9,92.3%
CHIN104,04,교양중국어Ⅱ(외국어강의),2023,2학기,4.9,자주함,2.6,2.8,4.4,3.9,70.6%
CHIN104,03,교양중국어Ⅱ(외국어강의),2023,2학기,4.5,매번함,3.9,3.5,4.3,4.3,55.0%
CHIN104,02,교양중국어Ⅱ(외국어강의),2023,2학기,4.9,매번함,2.9,2.8,5.0,4.6,62.5%
CHIN103,01,교양중국어Ⅰ(외국어강의),2023,2학기,4.5,매번함,3.1,2.8,3.5,3.5,75.0%
SMRT102,00,스마트보안수학(영강),2023,2학기,3.7,종종함,3.7,3.6,2.9,3.2,11.1%
PHYS162,46,일반물리학실험Ⅱ DL화학과('23학번 214 ~ 226),2023,2학기,4.5,매번함,2.3,2.8,3.8,3.5,16.7%
PHYS162,45,일반물리학실험Ⅱ DL화학과('23학번 201 ~ 213),2023,2학기,5.0,매번함,2.8,3.0,4.6,4.6,100.0%
